service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+b0047","1","1","1","1","1","1","0","20180726","20181208"
"TA+b004e","1","1","1","1","1","1","0","20180726","20181208"
"TA+b003x","1","1","1","1","1","1","0","20180726","20181208"
"TA+b006l","0","0","0","0","0","0","1","20180726","20181208"
"TA+b0090","0","0","0","0","0","1","0","20180726","20181208"
"TA+b0062","0","0","0","0","0","0","1","20180726","20181208"
"TA+b00cd","0","0","0","0","0","1","0","20180726","20181208"
"TA+b008l","0","0","0","0","0","0","1","20180726","20181208"
"TA+b00au","1","1","1","1","1","1","0","20180726","20181208"
"TA+b00b8","1","1","1","1","1","1","0","20180726","20181208"
"TA+b00ce","0","0","0","0","0","1","0","20180726","20181208"
"TA+b00a9","1","1","1","1","1","1","0","20180726","20181208"
"TA+b00ac","0","0","0","0","0","0","1","20180726","20181208"
"TA+b00co","0","0","0","0","0","1","0","20180726","20181208"
"TA+b003o","0","0","0","0","0","0","1","20180726","20181208"
"TA+b00bm","1","1","1","1","1","1","0","20180726","20181208"
"TA+b009c","1","0","0","0","0","0","0","20180726","20181208"
"TA+b0065","0","0","0","0","0","0","1","20180726","20181208"
"TA+b004a","1","0","0","0","0","0","0","20180726","20181208"
"TA+b003n","0","0","0","0","0","1","0","20180726","20181208"
"TA+b00aw","1","0","0","0","0","0","0","20180726","20181208"
"TA+b00ab","0","0","0","0","0","1","0","20180726","20181208"
"TA+b00cm","0","1","0","0","0","0","0","20180726","20181208"
"TA+b009l","0","1","0","0","0","0","0","20180726","20181208"
"TA+b00cl","0","0","0","0","1","0","0","20180726","20181208"
"TA+b003m","1","1","1","1","1","0","0","20180726","20181208"
"TA+b003r","0","0","0","0","0","1","0","20180726","20181208"
"TA+b003s","1","1","1","1","0","0","0","20180726","20181208"
"TA+b003u","0","0","0","0","1","0","0","20180726","20181208"
"TA+b00aa","1","1","1","1","1","0","0","20180726","20181208"
"TA+b00ag","0","0","0","0","0","1","0","20180726","20181208"
"TA+b00ah","1","1","1","1","0","0","0","20180726","20181208"
"TA+b00aj","0","0","0","0","1","0","0","20180726","20181208"
"TA+b00aq","0","0","0","0","1","0","0","20180726","20181208"
