service_id,date,exception_type
"TA+b003l","20180910","2"
"TA+b003l","20180911","2"
"TA+b003l","20180912","2"
"TA+b003l","20180913","2"
"TA+b003l","20180914","2"
"TA+b003l","20180915","2"
"TA+b003l","20180917","2"
"TA+b003l","20180918","2"
"TA+b003l","20180919","2"
"TA+b003l","20180920","2"
"TA+b003l","20180921","2"
"TA+b003l","20180922","2"
"TA+b003l","20180924","2"
"TA+b003l","20180925","2"
"TA+b003l","20180926","2"
"TA+b003l","20180927","2"
"TA+b003l","20180928","2"
"TA+b003l","20180929","2"
"TA+b003l","20181001","2"
"TA+b003l","20181002","2"
"TA+b003l","20181003","2"
"TA+b003l","20181004","2"
"TA+b003l","20181005","2"
"TA+b003l","20181006","2"
"TA+b003l","20181008","2"
"TA+b003l","20181009","2"
"TA+b003l","20181010","2"
"TA+b003l","20181011","2"
"TA+b003l","20181012","2"
"TA+b003l","20181013","2"
"TA+b003l","20181015","2"
"TA+b003l","20181016","2"
"TA+b003l","20181017","2"
"TA+b003l","20181018","2"
"TA+b003l","20181019","2"
"TA+b003l","20181020","2"
"TA+b003l","20181022","2"
"TA+b003l","20181023","2"
"TA+b003l","20181024","2"
"TA+b003l","20181025","2"
"TA+b003l","20181026","2"
"TA+b003l","20181027","2"
"TA+b003l","20181029","2"
"TA+b003l","20181030","2"
"TA+b003l","20181031","2"
"TA+b003l","20181101","2"
"TA+b003l","20181102","2"
"TA+b003l","20181103","2"
"TA+b003l","20181105","2"
"TA+b003l","20181106","2"
"TA+b003l","20181107","2"
"TA+b003l","20181108","2"
"TA+b003l","20181109","2"
"TA+b003l","20181110","2"
"TA+b003l","20181112","2"
"TA+b003l","20181113","2"
"TA+b003l","20181114","2"
"TA+b003l","20181115","2"
"TA+b003l","20181116","2"
"TA+b003l","20181117","2"
"TA+b003l","20181119","2"
"TA+b003l","20181120","2"
"TA+b003l","20181121","2"
"TA+b003l","20181122","2"
"TA+b003l","20181123","2"
"TA+b003l","20181124","2"
"TA+b003l","20181126","2"
"TA+b003l","20181127","2"
"TA+b003l","20181128","2"
"TA+b003l","20181129","2"
"TA+b003l","20181130","2"
"TA+b003l","20181201","2"
"TA+b003l","20181203","2"
"TA+b003l","20181204","2"
"TA+b003l","20181205","2"
"TA+b003l","20181206","2"
"TA+b003l","20181207","2"
"TA+b003l","20181208","2"
"TA+b003m","20180910","2"
"TA+b003m","20180911","2"
"TA+b003m","20180912","2"
"TA+b003m","20180913","2"
"TA+b003m","20180914","2"
"TA+b003m","20180917","2"
"TA+b003m","20180918","2"
"TA+b003m","20180919","2"
"TA+b003m","20180920","2"
"TA+b003m","20180921","2"
"TA+b003m","20180924","2"
"TA+b003m","20180925","2"
"TA+b003m","20180926","2"
"TA+b003m","20180927","2"
"TA+b003m","20180928","2"
"TA+b003m","20181001","2"
"TA+b003m","20181002","2"
"TA+b003m","20181003","2"
"TA+b003m","20181004","2"
"TA+b003m","20181005","2"
"TA+b003m","20181008","2"
"TA+b003m","20181009","2"
"TA+b003m","20181010","2"
"TA+b003m","20181011","2"
"TA+b003m","20181012","2"
"TA+b003m","20181015","2"
"TA+b003m","20181016","2"
"TA+b003m","20181017","2"
"TA+b003m","20181018","2"
"TA+b003m","20181019","2"
"TA+b003m","20181022","2"
"TA+b003m","20181023","2"
"TA+b003m","20181024","2"
"TA+b003m","20181025","2"
